Quarter,Time,Down,ToGo,Location,Detail,GNB,NYJ,EPB,EPA
4,9:54,2,5,NYJ 42,Sam Darnold pass incomplete short right intended for Robby Anderson,23,35,1.530,0.830
4,9:49,3,5,NYJ 42,Sam Darnold pass incomplete deep left intended for Robby Anderson (defended by Josh Jackson),23,35,0.830,-0.590
4,9:44,4,5,NYJ 42,Lac Edwards punts 52 yards,23,35,-0.590,0.380
4,9:34,1,10,GNB 6,Aaron Rodgers pass complete deep right to Equanimeous St. Brown for 24 yards (tackle by Darryl Roberts). Penalty on Darryl Roberts: Unnecessary Roughness 15 yards,23,35,-0.380,1.930
4,9:08,1,10,GNB 45,Jamaal Williams left tackle for 4 yards (tackle by Jamal Adams and Neville Hewitt),23,35,1.930,1.920
4,8:37,2,6,GNB 49,Aaron Rodgers pass complete short right to Jamaal Williams for 5 yards (tackle by Buster Skrine),23,35,1.920,1.880
4,7:59,3,1,NYJ 46,Aaron Rodgers pass incomplete short right intended for Jamaal Williams,23,35,1.880,0.200
4,7:47,,,,Timeout #1 by Green Bay Packers,23,35,,
4,7:47,4,1,NYJ 46,Aaron Rodgers pass complete short left to Robert Tonyan for 11 yards (tackle by Neville Hewitt),23,35,0.200,3.250
4,7:18,1,10,NYJ 35,Aaron Rodgers pass complete short middle to Jake Kumerow for 6 yards (tackle by Trumaine Johnson),23,35,3.250,3.510
4,6:49,2,4,NYJ 29,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Avery Williamson),23,35,3.510,2.810
4,6:45,3,4,NYJ 29,Aaron Rodgers pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Buster Skrine: Defensive Pass Interference 26 yards (no play),23,35,2.810,6.510
4,6:41,1,3,NYJ 3,Aaron Rodgers pass incomplete short right intended for Jimmy Graham (defended by Jamal Adams). Penalty on Jamal Adams: Defensive Pass Interference 2 yards (no play),23,35,6.510,6.970
4,6:37,1,1,NYJ 1,Aaron Rodgers right end for 1 yard touchdown,29,35,6.970,7.000
4,6:32,,,NYJ 15,Mason Crosby kicks extra point good,30,35,0.000,0.000
4,6:32,,,GNB 35,Mason Crosby kicks off 56 yards returned by Robby Anderson for 13 yards (tackle by Natrell Jamerson),30,35,0.000,-0.410
4,6:27,1,10,NYJ 22,Elijah McGuire middle for no gain (tackle by Tyler Lancaster),30,35,0.410,-0.130
4,5:46,2,10,NYJ 22,Sam Darnold pass complete short right to Jordan Leggett for 9 yards (tackle by Josh Jones),30,35,-0.130,0.370
