Quarter,Time,Down,ToGo,Location,Detail,PIT,CLE,EPB,EPA
OT,10:00,,,PIT 35,Chris Boswell kicks off 65 yards touchback,21,21,0.000,-0.610
OT,10:00,1,10,CLE 25,Carlos Hyde left guard for 2 yards (tackle by Cameron Heyward),21,21,0.610,0.330
OT,9:23,2,8,CLE 27,Tyrod Taylor pass complete short right to Jarvis Landry for 7 yards,21,21,0.330,0.560
OT,8:54,3,1,CLE 34,Tyrod Taylor pass incomplete deep right intended for David Njoku (defended by Sean Davis),21,21,0.560,-1.110
OT,8:50,4,1,CLE 34,Britton Colquitt punts 49 yards fair catch by Ryan Switzer,21,21,-1.110,0.060
OT,8:43,1,10,PIT 17,James Conner left guard for 2 yards (tackle by Derrick Kindred and Joe Schobert),21,21,-0.060,-0.250
OT,8:08,2,8,PIT 19,Ben Roethlisberger pass complete short right to James Conner for 19 yards (tackle by Damarious Randall),21,21,-0.250,1.470
OT,7:34,1,10,PIT 38,Ben Roethlisberger pass complete short left to Antonio Brown for 4 yards (tackle by Denzel Ward). Penalty on Alejandro Villanueva: Offensive Holding 10 yards (no play),21,21,1.470,0.810
OT,7:05,1,20,PIT 28,Ben Roethlisberger pass incomplete short left intended for Antonio Brown (defended by Terrance Mitchell),21,21,0.810,-0.430
OT,7:00,2,20,PIT 28,Ben Roethlisberger sacked by Larry Ogunjobi for -10 yards,21,21,-0.430,-2.750
OT,6:14,3,30,PIT 18,Ben Roethlisberger pass complete short left to Antonio Brown for 10 yards (tackle by Terrance Mitchell),21,21,-2.750,-1.500
OT,5:37,4,20,PIT 28,Jordan Berry punts 53 yards fair catch by Jabrill Peppers,21,21,-1.500,-0.150
OT,5:29,1,10,CLE 19,Carlos Hyde right tackle for no gain (tackle by Vince Williams),21,21,0.150,-0.390
OT,4:57,2,10,CLE 19,Tyrod Taylor sacked by T.J. Watt for -1 yards,21,21,-0.390,-1.250
OT,4:50,3,11,CLE 18,Tyrod Taylor pass complete short right to Duke Johnson for 8 yards (tackle by Cameron Sutton),21,21,-1.250,-1.630
OT,4:36,,,,Timeout #1 by Pittsburgh Steelers,21,21,,
OT,4:35,4,3,CLE 26,Britton Colquitt punts 29 yards out of bounds,21,21,-1.630,-1.930
OT,4:31,1,10,PIT 45,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Denzel Ward),21,21,1.930,1.380
OT,4:27,2,10,PIT 45,Ben Roethlisberger pass complete short middle to Antonio Brown for 12 yards (tackle by Briean Boddy-Calhoun),21,21,1.380,2.720
OT,3:50,1,10,CLE 43,James Conner right guard for 2 yards (tackle by Genard Avery and Chris Smith),21,21,2.720,2.450
OT,3:11,2,8,CLE 41,Ben Roethlisberger pass complete short left to Jesse James for 10 yards (tackle by Joe Schobert),21,21,2.450,3.510
OT,2:27,1,10,CLE 31,James Conner left guard for 3 yards (tackle by Myles Garrett),21,21,3.510,3.370
OT,2:00,2,7,CLE 28,James Conner right guard for -2 yards (tackle by Chris Smith and Derrick Kindred),21,21,3.370,2.410
OT,1:54,,,,Timeout #1 by Cleveland Browns,21,21,,
OT,1:54,3,9,CLE 30,Ben Roethlisberger pass complete short right to James Conner for 6 yards (tackle by Joe Schobert),21,21,2.410,1.970
OT,1:48,,,,Timeout #2 by Cleveland Browns,21,21,,
OT,1:47,4,3,CLE 24,Chris Boswell 42 yard field goal no good,21,21,1.970,-1.070
