Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
4,4:22,2,12,SEA 20,Russell Wilson pass complete short left to Jaron Brown for 7 yards,24,27,-0.400,-0.160
4,4:17,3,5,SEA 27,Russell Wilson sacked by Chris Harris for -9 yards,24,27,-0.160,-2.240
4,3:40,4,14,SEA 18,Michael Dickson punts 63 yards,24,27,-2.240,-0.150
4,3:28,1,10,DEN 19,Royce Freeman middle for 17 yards (tackle by Earl Thomas),24,27,0.150,1.330
4,3:16,,,,Timeout #1 by Seattle Seahawks,24,27,,
4,3:16,1,10,DEN 36,Royce Freeman left end for 5 yards (tackle by Tre Flowers),24,27,1.330,1.470
4,3:10,,,,Timeout #2 by Seattle Seahawks,24,27,,
4,3:10,2,5,DEN 41,Royce Freeman right tackle for 15 yards (tackle by Earl Thomas and Tre Flowers),24,27,1.470,2.650
4,2:24,1,10,SEA 44,Royce Freeman left guard for no gain (tackle by Shamar Stephen),24,27,2.650,2.110
4,2:00,2,10,SEA 44,Phillip Lindsay right guard for 3 yards (tackle by Austin Calitro),24,27,2.110,1.820
4,1:55,,,,Timeout #3 by Seattle Seahawks,24,27,,
4,1:55,3,7,SEA 41,Phillip Lindsay right guard for 2 yards (tackle by Austin Calitro),24,27,1.820,0.660
4,1:08,4,5,SEA 39,Penalty on DEN: Delay of Game (Declined),24,27,0.660,0.660
4,1:08,4,5,SEA 39,Marquette King punts 27 yards out of bounds,24,27,0.660,0.350
4,1:01,1,10,SEA 12,Russell Wilson pass complete short right to Nick Vannett for 11 yards (tackle by Will Parks),24,27,-0.350,0.480
4,0:40,1,10,SEA 23,Russell Wilson for no gain. Russell Wilson fumbles recovered by Russell Wilson at SEA-19,24,27,0.480,-0.670
4,0:21,2,14,SEA 19,Penalty on Jaron Brown: False Start 5 yards (no play),24,27,-0.670,-1.400
4,0:09,2,19,SEA 14,Russell Wilson pass incomplete deep left intended for Jaron Brown,24,27,-1.400,-2.340
4,0:02,3,19,SEA 14,Russell Wilson pass incomplete deep left intended for Jaron Brown is intercepted by Adam Jones at SEA-40,24,27,-2.340,-2.920
