Quarter,Time,Down,ToGo,Location,Detail,CIN,IND,EPB,EPA
4,4:08,,,,Timeout #2 by Cincinnati Bengals,24,23,,
4,4:08,3,10,CLT 21,Andy Dalton pass incomplete short left intended for Tyler Boyd,24,23,2.940,2.060
4,4:01,4,10,CLT 21,Randy Bullock 39 yard field goal good,27,23,2.060,3.000
4,3:57,,,CIN 35,Randy Bullock kicks off 65 yards touchback,27,23,0.000,-0.610
4,3:57,1,10,CLT 25,Andrew Luck pass incomplete short middle intended for Jack Doyle (defended by Carlos Dunlap),27,23,0.610,0.060
4,3:52,2,10,CLT 25,Andrew Luck pass incomplete short middle intended for T.Y. Hilton (defended by Dre Kirkpatrick). Penalty on Ryan Grant: Illegal Formation (Declined),27,23,0.060,-0.620
4,3:47,3,10,CLT 25,Andrew Luck pass complete short left to Jack Doyle for 12 yards (tackle by Hardy Nickerson),27,23,-0.620,1.400
4,3:21,1,10,CLT 37,Andrew Luck pass complete short middle to Jack Doyle for 4 yards (tackle by Darqueze Dennard),27,23,1.400,1.400
4,2:58,2,6,CLT 41,Jordan Wilkins middle for 4 yards (tackle by Carlos Dunlap),27,23,1.400,1.220
4,2:30,3,2,CLT 45,Andrew Luck pass complete short right to Chester Rogers for 7 yards (tackle by Nick Vigil),27,23,1.220,2.390
4,2:05,1,10,CIN 48,Andrew Luck pass complete short left to Ryan Grant for 4 yards (tackle by Jessie Bates),27,23,2.390,2.390
4,1:59,2,6,CIN 44,Andrew Luck pass complete short middle to Ryan Grant for 8 yards (tackle by William Jackson),27,23,2.390,3.180
4,1:38,1,10,CIN 36,Andrew Luck pass complete short middle to Nyheim Hines for 8 yards (tackle by Nick Vigil),27,23,3.180,3.720
4,1:16,2,2,CIN 28,Andrew Luck pass complete short left to Nyheim Hines for 3 yards (tackle by William Jackson),27,23,3.720,3.910
4,1:09,1,10,CIN 25,Andrew Luck pass complete short right to Nyheim Hines for -5 yards (tackle by Nick Vigil),27,23,3.910,2.690
4,0:46,2,15,CIN 30,Andrew Luck pass incomplete short right intended for Nyheim Hines,27,23,2.690,2.010
4,0:40,3,15,CIN 30,Andrew Luck pass complete short left to Jack Doyle for 13 yards (tackle by Clayton Fejedelem). Jack Doyle fumbles (forced by Clayton Fejedelem) recovered by Clayton Fejedelem at CIN-17 and returned for 83 yards touchdown,33,23,2.010,-7.000
4,,,,,Randy Bullock kicks extra point good,34,23,0.000,0.000
4,0:24,,,CIN 35,Randy Bullock kicks off 70 yards returned by Zach Pascal for 26 yards (tackle by Tony McRae),34,23,0.000,-0.340
4,0:18,1,10,CLT 21,Andrew Luck pass complete short left to Jack Doyle for 9 yards (tackle by Nick Vigil),34,23,0.340,1.020
