Quarter,Time,Down,ToGo,Location,Detail,BAL,CLE,EPB,EPA
4,0:05,1,10,RAV 45,Alex Collins left end for 13 yards (tackle by Derrick Kindred and Emmanuel Ogbah),9,9,1.930,2.790
OT,10:00,,,RAV 35,Justin Tucker kicks off 65 yards touchback,9,9,0.000,-0.610
OT,10:00,1,10,CLE 25,Carlos Hyde right guard for 2 yards (tackle by C.J. Mosley),9,9,0.610,0.330
OT,9:17,2,8,CLE 27,Baker Mayfield sacked by Kenny Young and Za'Darius Smith for -5 yards,9,9,0.330,-1.020
OT,9:17,3,13,CLE 22,Baker Mayfield pass complete short right to Derrick Willies for 9 yards (tackle by Anthony Levine),9,9,-1.020,-1.310
OT,8:03,4,4,CLE 31,Britton Colquitt punts 56 yards out of bounds. Penalty on Albert McClellan: Offensive Holding 6 yards,9,9,-1.310,0.380
OT,7:57,1,10,RAV 7,Joe Flacco pass complete short right to Michael Crabtree for 8 yards (tackle by Denzel Ward),9,9,-0.380,-0.140
OT,7:26,2,2,RAV 15,Alex Collins right guard for 6 yards (tackle by Jamie Collins and Emmanuel Ogbah),9,9,-0.140,0.340
OT,6:49,1,10,RAV 21,Joe Flacco pass incomplete short left intended for Alex Collins,9,9,0.340,-0.200
OT,6:43,2,10,RAV 21,Javorius Allen right end for 6 yards (tackle by Damarious Randall),9,9,-0.200,-0.100
OT,6:00,3,4,RAV 27,Joe Flacco pass complete short right to Chris Moore for 20 yards (tackle by E.J. Gaines),9,9,-0.100,2.060
OT,5:29,1,10,RAV 47,Alex Collins left tackle for 4 yards (tackle by Joe Schobert). Penalty on Chris Moore: Illegal Block Above the Waist 10 yards,9,9,2.060,1.660
OT,5:02,1,16,RAV 41,Lamar Jackson middle for 4 yards (tackle by Joe Schobert and Christian Kirksey),9,9,1.660,1.250
OT,4:37,2,12,RAV 45,Joe Flacco pass incomplete short left intended for Javorius Allen,9,9,1.250,0.560
OT,4:32,,,,Timeout #1 by Baltimore Ravens,9,9,,
OT,4:32,3,12,RAV 45,Joe Flacco pass incomplete deep middle intended for Willie Snead,9,9,0.560,-0.390
OT,4:26,4,12,RAV 45,Sam Koch punts 41 yards fair catch by Jabrill Peppers,9,9,-0.390,0.280
OT,4:20,1,10,CLE 14,Baker Mayfield pass complete short right to Jarvis Landry for 27 yards (tackle by C.J. Mosley). Penalty on Tony Jefferson: Roughing the Passer 15 yards,9,9,-0.280,2.650
OT,4:09,1,10,RAV 44,Baker Mayfield pass complete short middle to Antonio Callaway for 5 yards (tackle by Marlon Humphrey and C.J. Mosley),9,9,2.650,2.780
OT,3:36,2,5,RAV 39,Baker Mayfield pass incomplete short right intended for Derrick Willies,9,9,2.780,2.080
OT,3:32,3,5,RAV 39,Baker Mayfield pass incomplete short middle intended for David Njoku,9,9,2.080,0.660
OT,3:26,4,5,RAV 39,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,9,9,0.660,-1.530
OT,3:22,1,10,RAV 39,Joe Flacco pass incomplete short right intended for Javorius Allen (defended by Genard Avery),9,9,1.530,0.990
OT,3:18,2,10,RAV 39,Joe Flacco pass incomplete deep right intended for John Brown,9,9,0.990,0.300
OT,3:14,3,10,RAV 39,Joe Flacco pass incomplete short left intended for Hayden Hurst,9,9,0.300,-0.780
OT,3:07,4,10,RAV 39,Sam Koch punts 56 yards returned by Jabrill Peppers for 11 yards (tackle by Anthony Levine),9,9,-0.780,0.140
OT,2:57,1,10,CLE 16,Rod Streater right end for -11 yards (tackle by Matt Judon),9,9,-0.140,-1.580
OT,2:12,2,21,CLE 5,Baker Mayfield left end for 13 yards (tackle by Tavon Young),9,9,-1.580,-1.070
OT,2:00,3,8,CLE 18,Baker Mayfield pass complete short right to Derrick Willies for 39 yards (tackle by Eric Weddle),9,9,-1.070,2.720
OT,1:16,,,,Timeout #2 by Baltimore Ravens,9,9,,
OT,1:16,1,10,RAV 43,Duke Johnson right tackle for 15 yards (tackle by Tony Jefferson),9,9,2.720,3.710
OT,0:39,1,10,RAV 28,Duke Johnson right guard for 5 yards (tackle by Za'Darius Smith),9,9,3.710,3.840
OT,0:10,2,5,RAV 23,Duke Johnson right tackle for 4 yards (tackle by Brandon Williams),9,9,3.840,3.720
OT,0:06,,,,Timeout #1 by Cleveland Browns,9,9,,
OT,0:06,3,1,RAV 19,Greg Joseph 37 yard field goal good,9,12,3.720,3.000
