Quarter,Time,Down,ToGo,Location,Detail,DEN,NYJ,EPB,EPA
4,9:12,4,3,NYJ 6,Case Keenum pass incomplete short middle intended for Emmanuel Sanders (defended by Morris Claiborne),10,27,3.010,0.380
4,9:05,1,10,NYJ 7,--,10,27,-0.380,-0.560
4,8:23,2,7,NYJ 10,Isaiah Crowell right end for 36 yards (tackle by Justin Simmons),10,27,-0.560,1.990
4,7:35,1,10,NYJ 46,Bilal Powell middle for 38 yards (tackle by Todd Davis),10,27,1.990,4.510
4,6:40,1,10,DEN 16,Bilal Powell right guard for 1 yard (tackle by Shaquil Barrett),10,27,4.510,4.050
4,5:57,2,9,DEN 15,Bilal Powell middle for -5 yards (tackle by Josey Jewell),10,27,4.050,2.740
4,5:15,3,14,DEN 20,Sam Darnold pass complete deep left to Terrelle Pryor for 20 yards touchdown,10,33,2.740,7.000
4,5:10,,,DEN 15,Jason Myers kicks extra point good,10,34,0.000,0.000
4,5:10,,,NYJ 35,Jason Myers kicks off 65 yards touchback,10,34,0.000,-0.610
4,5:10,1,10,DEN 25,Case Keenum pass complete short right to Jeff Heuerman for 4 yards (tackle by Darryl Roberts),10,34,0.610,0.600
4,4:37,2,6,DEN 29,Case Keenum pass complete short right to DaeSean Hamilton for 2 yards (tackle by Darryl Roberts),10,34,0.600,0.170
4,4:33,3,4,DEN 31,Case Keenum pass complete short left to Courtland Sutton for 10 yards (tackle by Morris Claiborne),10,34,0.170,1.660
4,4:13,1,10,DEN 41,Case Keenum pass complete short middle to Devontae Booker for 11 yards (tackle by Avery Williamson and Darron Lee),10,34,1.660,2.390
4,3:51,1,10,NYJ 48,Case Keenum pass incomplete short right intended for Brian Parker,10,34,2.390,1.850
4,3:46,2,10,NYJ 48,Case Keenum pass complete short left to Emmanuel Sanders for 6 yards (tackle by Morris Claiborne),10,34,1.850,1.950
4,3:27,3,4,NYJ 42,Case Keenum pass complete deep right to Demaryius Thomas for 42 yards touchdown,16,34,1.950,7.000
4,3:18,,,NYJ 2,Two Point Attempt: Case Keenum pass incomplete intended for Demaryius Thomas conversion fails,16,34,0.000,-1.000
4,3:18,,,DEN 35,Brandon McManus kicks onside 12 yards recovered by Quincy Enunwa,16,34,0.000,-2.460
4,3:17,1,10,DEN 47,Bilal Powell middle for 2 yards (tackle by Todd Davis),16,34,2.460,2.180
