Quarter,Time,Down,ToGo,Location,Detail,NYJ,CLE,EPB,EPA
4,4:58,3,10,NYJ 26,Baker Mayfield pass complete short right to Antonio Callaway for 10 yards (tackle by Jamal Adams),17,14,2.610,4.510
4,4:54,1,10,NYJ 16,Carlos Hyde right guard for 7 yards. Penalty on Jarvis Landry: Illegal Block Above the Waist 10 yards,17,14,4.510,4.280
4,4:47,1,13,NYJ 19,Baker Mayfield pass complete short middle to Jarvis Landry for 12 yards (tackle by Doug Middleton),17,14,4.280,5.540
4,4:10,2,1,NYJ 7,Nick Chubb right guard for 6 yards (tackle by Darron Lee and Parry Nickerson),17,14,5.540,6.970
4,3:28,1,1,NYJ 1,Carlos Hyde left tackle for no gain (tackle by Avery Williamson),17,14,6.970,5.910
4,2:48,2,1,NYJ 1,Baker Mayfield pass complete short left to Jarvis Landry for no gain,17,14,5.910,5.170
4,2:07,3,1,NYJ 1,Carlos Hyde right guard for 1 yard touchdown,17,20,5.170,7.000
4,2:04,,,NYJ 15,Greg Joseph kicks extra point good,17,21,0.000,0.000
4,2:04,,,CLE 35,Greg Joseph kicks off 65 yards touchback,17,21,0.000,-0.610
4,2:04,1,10,NYJ 25,Sam Darnold pass incomplete short left intended for Quincy Enunwa (defended by Myles Garrett),17,21,0.610,0.060
4,2:00,2,10,NYJ 25,Sam Darnold pass complete short left to Robby Anderson for 5 yards (tackle by Terrance Mitchell),17,21,0.060,0.040
4,1:55,3,5,NYJ 30,Penalty on Brandon Shell: False Start 5 yards (no play),17,21,0.040,-0.620
4,1:55,3,10,NYJ 25,Sam Darnold pass incomplete,17,21,-0.620,-1.700
4,1:48,4,10,NYJ 25,Sam Darnold pass complete short right to Jermaine Kearse for 12 yards (tackle by Joe Schobert),17,21,-1.700,1.400
4,1:27,1,10,NYJ 37,Sam Darnold pass incomplete short middle intended for Jermaine Kearse is intercepted by Joe Schobert at NYJ-43,17,21,1.400,-2.720
4,1:21,1,10,NYJ 43,Carlos Hyde left guard for 4 yards (tackle by Jordan Jenkins),17,21,2.720,2.720
4,1:16,,,,Timeout #1 by New York Jets,17,21,,
4,1:16,2,6,NYJ 39,Carlos Hyde right guard for no gain (tackle by Avery Williamson),17,21,2.720,2.010
4,1:11,,,,Timeout #2 by New York Jets,17,21,,
4,1:11,3,6,NYJ 39,Carlos Hyde right guard for 4 yards (tackle by Jamal Adams),17,21,2.010,0.990
4,1:05,,,,Timeout #3 by New York Jets,17,21,,
4,1:05,4,2,NYJ 35,Britton Colquitt punts 29 yards,17,21,0.990,0.380
4,0:56,1,10,NYJ 6,Sam Darnold pass complete deep right to Terrelle Pryor for 25 yards (tackle by Terrance Mitchell),17,21,-0.380,1.000
4,0:32,1,10,NYJ 31,Sam Darnold sacked by Myles Garrett for -2 yards,17,21,1.000,0.190
4,0:15,2,12,NYJ 29,Sam Darnold pass incomplete deep left intended for Robby Anderson is intercepted by Terrance Mitchell at CLE-34,17,21,0.190,-1.200
4,0:11,1,10,CLE 34,Baker Mayfield kneels for -1 yards,17,21,1.200,0.520
